iter	Passed	Remaining
0	2	262
1	4	221
2	6	208
3	7	189
4	9	182
5	11	177
6	13	181
7	15	180
8	18	183
9	20	187
10	22	184
11	24	182
12	27	185
13	30	184
14	32	182
15	34	181
16	36	176
17	37	172
18	39	168
19	41	167
20	43	163
21	45	160
22	47	158
23	48	155
24	50	151
25	52	148
26	54	147
27	56	144
28	57	141
29	59	138
30	61	135
31	62	133
32	64	131
33	66	129
34	68	127
35	70	124
36	71	121
37	74	120
38	75	118
39	77	115
40	78	113
41	79	109
42	80	107
43	82	104
44	83	101
45	84	99
46	86	97
47	88	95
48	89	93
49	91	91
50	92	88
51	93	86
52	95	84
53	96	82
54	97	79
55	98	77
56	99	75
57	101	73
58	102	71
59	103	69
60	104	66
61	106	65
62	107	63
63	109	61
64	111	59
65	112	57
66	112	55
67	114	53
68	115	51
69	116	49
70	116	47
71	117	45
72	118	43
73	118	41
74	119	39
75	120	38
76	122	36
77	123	34
78	124	32
79	124	31
80	125	29
81	126	27
82	127	26
83	128	24
84	129	22
85	130	21
86	130	19
87	131	17
88	132	16
89	133	14
90	133	13
91	134	11
92	135	10
93	135	8
94	136	7
95	137	5
96	137	4
97	138	2
98	139	1
99	139	0
