iter	Passed	Remaining
0	2	2541
1	5	2521
2	7	2366
3	8	2077
4	9	1877
5	11	1847
6	13	1845
7	14	1780
8	17	1952
9	20	2025
10	21	1946
11	22	1876
12	23	1806
13	27	1950
14	29	1956
15	32	1979
16	34	1979
17	36	1985
18	38	1995
19	40	1964
20	41	1920
21	42	1881
22	44	1894
23	47	1916
24	49	1930
25	50	1899
26	51	1873
27	53	1845
28	54	1836
29	55	1810
30	57	1784
31	58	1758
32	60	1764
33	62	1762
34	63	1763
35	65	1741
36	66	1727
37	67	1714
38	68	1695
39	69	1676
40	70	1657
41	71	1641
42	73	1628
43	74	1623
44	76	1633
45	78	1636
46	80	1631
47	82	1640
48	83	1627
49	85	1615
50	86	1603
51	87	1591
52	88	1586
53	90	1588
54	93	1605
55	95	1606
56	96	1594
57	97	1583
58	99	1584
59	100	1578
60	102	1573
61	103	1563
62	105	1563
63	107	1569
64	109	1575
65	110	1567
66	111	1557
67	112	1548
68	114	1544
69	115	1539
70	116	1530
71	118	1522
72	119	1520
73	122	1531
74	124	1537
75	125	1530
76	126	1521
77	128	1516
78	129	1514
79	131	1512
80	132	1504
81	134	1509
82	136	1510
83	137	1504
84	138	1495
85	140	1488
86	141	1483
87	143	1488
88	144	1483
89	146	1476
90	147	1469
91	149	1471
92	151	1480
93	154	1490
94	156	1491
95	157	1485
96	158	1479
97	160	1474
98	161	1467
99	162	1463
100	167	1486
101	169	1490
102	170	1488
103	171	1481
104	173	1474
105	174	1467
106	175	1462
107	176	1458
108	178	1459
109	181	1467
110	183	1468
111	185	1473
112	186	1467
113	188	1463
114	189	1460
115	191	1458
116	192	1451
117	195	1460
118	199	1477
119	200	1473
120	202	1469
121	203	1463
122	204	1461
123	206	1456
124	207	1450
125	210	1458
126	213	1465
127	215	1465
128	216	1462
129	218	1461
130	219	1458
131	221	1454
132	224	1461
133	227	1469
134	228	1466
135	230	1463
136	231	1458
137	232	1453
138	233	1447
139	234	1443
140	236	1439
141	237	1433
142	239	1434
143	241	1438
144	243	1434
145	244	1430
146	245	1426
147	247	1422
148	248	1417
149	249	1415
150	251	1412
151	252	1409
152	254	1409
153	256	1407
154	257	1404
155	258	1400
156	259	1395
157	261	1391
158	262	1386
159	263	1384
160	264	1379
161	265	1375
162	268	1379
163	271	1386
164	273	1383
165	274	1379
166	275	1374
167	277	1371
168	279	1372
169	280	1367
170	283	1376
171	287	1383
172	288	1380
173	290	1378
174	291	1375
175	292	1370
176	293	1366
177	294	1361
178	296	1360
179	299	1366
180	302	1366
181	303	1365
182	305	1362
183	306	1357
184	307	1353
185	308	1350
186	309	1347
187	312	1351
188	315	1352
189	317	1355
190	319	1353
191	321	1351
192	322	1348
193	324	1347
194	326	1345
195	327	1345
196	331	1349
197	332	1347
198	333	1344
199	335	1340
200	336	1336
201	337	1333
202	338	1330
203	339	1326
204	341	1325
205	343	1323
206	345	1322
207	346	1318
208	347	1314
209	348	1310
210	349	1307
211	351	1304
212	352	1301
213	353	1298
214	354	1294
215	357	1296
216	358	1294
217	360	1293
218	362	1292
219	363	1289
220	365	1287
221	366	1283
222	369	1285
223	374	1298
224	377	1301
225	379	1299
226	380	1297
227	382	1293
228	383	1290
229	384	1286
230	387	1289
231	389	1288
232	391	1288
233	392	1285
234	393	1282
235	394	1278
236	396	1275
237	397	1272
238	399	1272
239	402	1275
240	404	1275
241	407	1275
242	408	1273
243	409	1269
244	410	1265
245	411	1262
246	415	1265
247	417	1266
248	421	1271
249	422	1268
250	423	1265
251	424	1261
252	426	1258
253	427	1256
254	429	1253
255	430	1249
256	431	1248
257	433	1248
258	436	1248
259	437	1245
260	438	1241
261	439	1238
262	440	1235
263	443	1235
264	444	1232
265	445	1229
266	447	1228
267	450	1229
268	452	1230
269	454	1229
270	456	1227
271	457	1224
272	458	1221
273	459	1218
274	462	1219
275	466	1224
276	468	1221
277	469	1219
278	470	1216
279	471	1213
280	473	1211
281	474	1208
282	476	1207
283	478	1206
284	479	1204
285	481	1201
286	483	1201
287	485	1200
288	487	1199
289	489	1197
290	493	1201
291	496	1204
292	498	1202
293	499	1199
294	500	1195
295	501	1193
296	503	1191
297	505	1189
298	508	1193
299	512	1195
300	514	1194
301	515	1192
302	517	1189
303	518	1186
304	520	1184
305	522	1184
306	525	1185
307	526	1183
308	527	1180
309	529	1177
310	530	1174
311	531	1171
312	532	1169
313	537	1173
314	539	1172
315	541	1171
316	542	1168
317	543	1165
318	544	1162
319	545	1159
320	546	1156
321	548	1154
